Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genre,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Playlist Name,Playlist URI
0jSvTm2d5guevlaLKSYA84,Gucci Slides (feat. LORYN),Gucci Slides,Boston Bun;LORYN,05/29/2020,177295,23,trey.mcmillon,2020-12-04T03:34:50Z,,0.655,0.718,11,-6.043,0,0.25,0.204,0,0.173,0.477,125.046,4,20,2mGMkrkQ9urAsJR0GqVQ62
0sci7ppTZFm4mjcH3nu8yO,nasty,Positions,Ariana Grande,10/30/2020,200732,67,trey.mcmillon,2020-11-30T18:55:05Z,pop,0.772,0.506,6,-6.558,0,0.139,0.0814,0.000011,0.182,0.456,127.894,4,20,2mGMkrkQ9urAsJR0GqVQ62
0smgkpVia3VCXgY4qhVJvp,Guilty Conscience,Modus Vivendi,070 Shake,01/17/2020,213333,56,trey.mcmillon,2020-12-08T14:04:26Z,,0.542,0.637,7,-6.049,1,0.135,0.00675,0,0.123,0.221,179.813,4,20,2mGMkrkQ9urAsJR0GqVQ62
0xD5Zn7YbueY9ukGJWlTXM,Call It What You Want,aiMless,rum.gold,04/24/2020,234905,26,trey.mcmillon,2020-12-15T13:32:45Z,alternative r&b,0.567,0.209,11,-14.595,0,0.0356,0.876,0.000951,0.0926,0.268,84.117,4,20,2mGMkrkQ9urAsJR0GqVQ62
15NQ3x1f2GUhqs8oBXhTqp,Scottie Beam,Alfredo,Freddie Gibbs;The Alchemist;Rick Ross,05/29/2020,244053,62,trey.mcmillon,2020-12-10T15:53:46Z,"jazz rap,alternative hip hop,experimental hip hop,boom bap,southern hip hop",0.523,0.654,6,-9.531,0,0.216,0.815,0.00000834,0.211,0.544,79.192,4,20,2mGMkrkQ9urAsJR0GqVQ62
19CSr8rwW05VJL2F91KFNK,ivy,evermore,Taylor Swift,12/11/2020,260440,64,trey.mcmillon,2020-12-11T15:39:42Z,,0.515,0.545,2,-9.277,1,0.0353,0.855,0.0000197,0.0921,0.535,88.856,4,20,2mGMkrkQ9urAsJR0GqVQ62
1W1pokpC4XLVjVMXUCWi5l,Can't Go For That (feat. Lil Duval),So Help Me God!,2 Chainz;Ty Dolla $ign;Lil Duval,11/13/2020,179130,42,trey.mcmillon,2020-11-20T00:25:09Z,"rap,southern hip hop,trap soul",0.795,0.665,2,-7.091,1,0.0625,0.0119,0,0.106,0.335,98.542,4,20,2mGMkrkQ9urAsJR0GqVQ62
2alJKJoqOOEPVU1Do3eIjJ,53.49,3.15.20,Childish Gambino,03/22/2020,235280,0,trey.mcmillon,2020-12-01T22:00:01Z,,0.518,0.952,6,-5.274,0,0.198,0.0287,0,0.381,0.622,171.905,4,20,2mGMkrkQ9urAsJR0GqVQ62
2ENxOXbxhfJ3lfItO0MFDv,Take Care of You (feat. Syd),Take Care of You / Summertime,Charlotte Day Wilson;Syd,08/13/2020,214437,40,trey.mcmillon,2020-12-02T16:03:34Z,alternative r&b,0.666,0.535,4,-9.033,0,0.112,0.827,0.0228,0.202,0.259,127.029,4,20,2mGMkrkQ9urAsJR0GqVQ62
2IDUt4NBzRoF7EWXEMYhGa,DEALER,DRUG DEALING IS A LOST ART,RMR,06/12/2020,144723,23,trey.mcmillon,2020-12-01T22:11:42Z,,0.856,0.566,1,-4.874,1,0.0505,0.15,0.000176,0.131,0.0439,120.028,4,20,2mGMkrkQ9urAsJR0GqVQ62
