Album ID,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,Lady Gaga & Bradley Cooper,10/05/2018,,,ryan.davis,2018,,,,,,,,,,,,,
3MYJYd73u0SatCnRVvRJ3M,Bloom,Troye Sivan,08/31/2018,,,ryan.davis,2018,,,,,,,,,,,,,
5wtE5aLX5r7jOosmPhJhhk,Swimming,Mac Miller,08/03/2018,,,ryan.davis,2018,,,,,,,,,,,,,
3tx8gQqWbGwqIGZHqDNrGe,Sweetener,Ariana Grande,08/17/2018,,,ryan.davis,2018,,,,,,,,,,,,,
6pwuKxMUkNg673KETsXPUV,KIDS SEE GHOSTS,KIDS SEE GHOSTS,06/08/2018,,,ryan.davis,2018,,,,,,,,,,,,,
6Vn8F3hERVHYYz5RfKmsAN,Phoenix,Rita Ora,11/23/2018,,,ryan.davis,2018,,,,,,,,,,,,,
6UYZEYjpN1DYRW0kqFy9ZE,Championships,Meek Mill,11/30/2018,,,ryan.davis,2018,,,,,,,,,,,,,
3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From and Inspired By,"Kendrick Lamar, The Weeknd, SZA",02/09/2018,,,ryan.davis,2018,,,,,,,,,,,,,
67ErXRS9s9pVG8JmFbrdJ0,Ella Mai,Ella Mai,10/12/2018,,,ryan.davis,2018,,,,,,,,,,,,,
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,Post Malone,04/27/2018,,,ryan.davis,2018,,,,,,,,,,,,,
6gDtROOIYa6OQxwhDNkDRM,Twin Fantasy,Car Seat Headrest,02/16/2018,,,frank.gibase,2018,,,,,,,,,,,,,
1zN85Ep8w2JORfCe0RHLDP,7,Beach House,05/11/2018,,,frank.gibase,2018,,,,,,,,,,,,,
6PWXKiakqhI17mTYM4y6oY,A Brief Inquiry Into Online Relationships,The 1975,11/30/2018,,,frank.gibase,2018,,,,,,,,,,,,,
41GuZcammIkupMPKH2OJ6I,ASTROWORLD,Travis Scott,08/03/2018,,,frank.gibase,2018,,,,,,,,,,,,,
7aQG6DxwFmUKVhkOJtlCZ1,Now Only,Mount Eerie,03/16/2018,,,frank.gibase,2018,,,,,,,,,,,,,
7f6xPqyaolTiziKf5R5Z0c,Golden Hour,Kacey Musgraves,03/30/2018,,,frank.gibase,2018,,,,,,,,,,,,,
7f4DUvIlSluy7YRnZsLEkd,God's Favorite Customer,Father John Misty,06/01/2018,,,frank.gibase,2018,,,,,,,,,,,,,
66at85wgO2pu5CccvqUF6i,Some Rap Songs,Earl Sweatshirt,11/30/2018,,,frank.gibase,2018,,,,,,,,,,,,,
2ZlrWJ4Ev4DhG6mRo5h1AP,Lush,Snail Mail,06/08/2018,,,frank.gibase,2018,,,,,,,,,,,,,
01HArmgfXe7xDaYXWKfhuf,Safe in Hands of Love,Yves Tumor,09/05/2018,,,frank.gibase,2018,,,,,,,,,,,,,
2Ek1q2haOnxVqhvVKqMvJe,ye,Kanye West,06/01/2018,,,wes.herr,2018,,,,,,,,,,,,,
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,Post Malone,04/27/2018,,,wes.herr,2018,,,,,,,,,,,,,
